total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,tree_insertion_time,tree_insertion_num,permutation_map_insertion_time,permutation_map_insertion_num,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,queue_size,queue_min_length,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0.718622,0.561523,0.00221562,0.557408,0,142167,0.160455,0.0158997,108583,0.0886927,133690,0.0289382,0.358504,3,108468,885,107583,1,106194,2237,2,141,1:86;2:5932;3:64506;4:37004;
0.746984,0.589653,0.0023644,0.585321,1.19209e-06,151271,0.168715,0.0166862,115107,0.0931361,142232,0.0291778,0.358042,3,114981,939,114041,1,112593,2362,2,141,1:86;2:5910;3:66720;4:41271;
0.747447,0.590164,0.0023644,0.585829,9.53674e-07,151389,0.168828,0.0166955,115211,0.0931995,142347,0.0291778,0.358042,3,115085,940,114145,1,112697,2362,2,141,1:86;2:5909;3:66824;4:41271;
0.883397,0.590164,0.0023644,0.585829,9.53674e-07,151389,0.168828,0.0166955,115211,0.0931995,142347,0.0291778,0.358042,3,115085,940,114145,1,112697,2362,2,141,1:86;2:5907;3:66804;4:41265;
1.26446,0.968924,0.00451756,0.961742,0,267544,0.275908,0.0269594,200687,0.160845,251332,0.0310271,0.354652,3,200445,1654,198790,1,196284,4250,3,141,1:84;2:5850;3:88192;4:104319;5:262;
1.26496,0.969478,0.00451756,0.962292,1.19209e-06,267665,0.276031,0.0269856,200777,0.160917,251450,0.0310271,0.354652,3,200535,1655,198880,1,196373,4251,3,141,1:84;2:5849;3:88282;4:104319;5:262;
1.50851,0.969478,0.00451756,0.962292,1.19209e-06,267665,0.276031,0.0269856,200777,0.160917,251450,0.0310271,0.354652,3,200535,1655,198880,1,196373,4251,3,139,1:84;2:5836;3:88134;4:104070;5:262;
1.55525,1.01581,0.00486517,1.00825,9.53674e-07,282116,0.289552,0.028245,210440,0.1694,264984,0.0312498,0.354652,3,210177,1737,208440,1,205708,4579,3,139,1:84;2:5801;3:91068;4:110469;5:524;
2.02919,1.48606,0.00845385,1.47507,1.19209e-06,421675,0.415063,0.0398157,308437,0.276276,395677,0.0326368,0.354652,3,308006,2569,305437,1,301137,7144,6,139,1:80;2:6009;3:105485;4:186639;5:6727;
2.25072,1.70512,0.0107794,1.6925,1.19209e-06,487169,0.474475,0.045465,354907,0.322705,457008,0.0333387,0.354189,3,354405,2969,351435,1,346484,8267,6,139,1:80;2:5951;3:110472;4:223482;5:10954;
2.2512,1.70566,0.0107794,1.69304,0,487289,0.47461,0.045476,354996,0.322788,457125,0.0333387,0.354189,3,354494,2970,351524,1,346573,8267,6,139,1:80;2:5950;3:110561;4:223482;5:10954;
2.68102,1.70566,0.0107794,1.69304,0,487289,0.47461,0.045476,354996,0.322788,457125,0.0333387,0.354189,3,354494,2970,351524,1,346573,8267,6,139,1:80;2:5949;3:110532;4:223440;5:10954;
2.91685,1.93961,0.0125699,1.92521,1.19209e-06,560356,0.540712,0.0518079,407118,0.366353,525551,0.0338696,0.354189,3,406537,3419,403118,1,397156,9806,6,138,1:80;2:5891;3:115030;4:266216;5:15332;
3.36642,2.38573,0.0159206,2.36786,9.53674e-07,698640,0.666502,0.0638912,506911,0.449586,655008,0.0346402,0.354189,3,506180,4269,501911,1,494349,12405,7,138,1:79;2:5907;3:120329;4:335527;5:39499;
3.86474,2.88039,0.0194483,2.85908,0,836814,0.790311,0.0753942,604423,0.585964,784307,0.0353252,0.354189,3,603531,5108,598423,1,589151,15115,7,138,1:79;2:5855;3:124545;4:399774;5:67600;
4.34364,3.35286,0.0257289,3.32802,0,975072,0.915439,0.0869849,701584,0.696983,913679,0.035873,0.354189,3,700534,5950,694584,1,683636,17791,7,138,1:79;2:5788;3:129588;4:457120;5:101439;
4.7875,3.79255,0.0297759,3.76431,0,1111991,1.03799,0.0983913,796906,0.784937,1041754,0.0363353,0.354189,3,795682,6776,788906,1,776146,20603,7,137,1:79;2:5758;3:131703;4:516478;5:134318;
5.23537,4.23656,0.0335233,4.20484,1.19209e-06,1249949,1.16288,0.109855,892160,0.872386,1170761,0.0367977,0.354189,3,890769,7609,883160,1,867804,24199,7,137,1:79;2:5714;3:134835;4:573493;5:168469;
5.68202,4.67935,0.0372562,4.6442,9.53674e-07,1387287,1.28633,0.121465,990155,0.959943,1299149,0.0371744,0.354189,3,988613,8458,980155,1,963026,26972,7,137,1:79;2:5694;3:136046;4:622977;5:214790;
