prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
29, 372	2	29	1, 0	1	0.677621283255	1.0	77	77	562
29, 374	2	29	1, 0	1	0.674491392801	0.995305164319	81	78	558
29, 375	2	29	1, 1	1	0.638497652582	0.992175273865	73	68	566
29, 51	2	29	1, 0	1	0.694835680751	1.0	88	88	551
29, 53	2	29	1, 1	1	0.638497652582	1.0	99	99	540
29, 62	2	29	1, 0	1	0.679186228482	0.990610328638	90	84	549
51, 103	2	51	0, 1	1	0.694835680751	0.993740219092	54	50	585
51, 110	2	51	0, 1	1	0.694835680751	1.0	82	82	557
51, 115	2	51	0, 1	1	0.694835680751	0.992175273865	86	81	553
51, 125	2	51	0, 1	1	0.694835680751	0.995305164319	52	49	587
51, 134	2	51	0, 0	1	0.746478873239	1.0	69	69	570
51, 153	2	51	0, 0	1	0.733959311424	1.0	61	61	578
51, 176	2	51	0, 0	1	0.738654147105	1.0	64	64	575
51, 178	2	51	0, 0	1	0.738654147105	1.0	64	64	575
51, 183	2	51	0, 1	1	0.694835680751	0.995305164319	59	56	580
51, 198	2	51	0, 0	1	0.73082942097	0.992175273865	69	64	570
51, 224	2	51	0, 1	1	0.694835680751	0.993740219092	83	79	556
51, 239	2	51	0, 1	1	0.694835680751	0.992175273865	82	77	557
51, 248	2	51	0, 1	1	0.694835680751	0.990610328638	53	47	586
51, 251	2	51	0, 1	1	0.694835680751	0.993740219092	61	57	578
51, 26	2	51	0, 1	1	0.694835680751	0.992175273865	83	78	556
51, 262	2	51	0, 1	1	0.694835680751	0.990610328638	60	54	579
51, 270	2	51	0, 1	1	0.694835680751	0.990610328638	56	50	583
51, 281	2	51	0, 1	1	0.694835680751	1.0	83	83	556
51, 29	2	51	0, 1	1	0.694835680751	1.0	88	88	551
51, 298	2	51	0, 1	1	0.694835680751	0.990610328638	89	83	550
51, 304	2	51	0, 1	1	0.694835680751	1.0	95	95	544
51, 314	2	51	0, 1	1	0.694835680751	1.0	90	90	549
51, 333	2	51	0, 1	1	0.694835680751	1.0	97	97	542
51, 339	2	51	0, 1	1	0.694835680751	0.993740219092	84	80	555
51, 346	2	51	0, 0	1	0.724569640063	0.992175273865	65	60	574
51, 353	2	51	0, 1	1	0.694835680751	0.992175273865	57	52	582
51, 362	2	51	0, 1	1	0.694835680751	0.990610328638	89	83	550
51, 372	2	51	0, 0	1	0.733959311424	1.0	61	61	578
51, 374	2	51	0, 0	1	0.699530516432	0.995305164319	45	42	594
51, 375	2	51	0, 1	1	0.694835680751	0.992175273865	84	79	555
51, 53	2	51	0, 1	1	0.694835680751	1.0	84	84	555
51, 62	2	51	0, 0	1	0.699530516432	0.990610328638	51	45	588
51, 67	2	51	0, 1	1	0.694835680751	0.990610328638	76	70	563
53, 110	2	53	1, 1	1	0.638497652582	1.0	93	93	546
53, 115	2	53	1, 1	1	0.638497652582	0.992175273865	98	93	541
53, 134	2	53	1, 0	1	0.69014084507	1.0	81	81	558
53, 153	2	53	1, 0	1	0.677621283255	1.0	73	73	566
53, 175	2	53	1, 0	1	0.674491392801	0.993740219092	79	75	560
53, 176	2	53	1, 0	1	0.682316118936	1.0	76	76	563
53, 178	2	53	1, 0	1	0.682316118936	1.0	76	76	563
53, 181	2	53	1, 0	1	0.669796557121	0.992175273865	78	73	561
53, 198	2	53	1, 0	1	0.680751173709	0.992175273865	85	80	554
53, 224	2	53	1, 1	1	0.638497652582	0.993740219092	87	83	552
53, 239	2	53	1, 1	1	0.638497652582	0.992175273865	87	82	552
53, 26	2	53	1, 1	1	0.638497652582	0.992175273865	88	83	551
53, 262	2	53	1, 0	1	0.671361502347	0.992175273865	79	74	560
53, 281	2	53	1, 1	1	0.638497652582	1.0	94	94	545
53, 29	2	53	1, 1	1	0.638497652582	1.0	99	99	540
53, 298	2	53	1, 1	1	0.638497652582	0.990610328638	101	95	538
53, 304	2	53	1, 1	1	0.638497652582	1.0	107	107	532
53, 314	2	53	1, 1	1	0.638497652582	1.0	101	101	538
53, 333	2	53	1, 1	1	0.638497652582	1.0	108	108	531
53, 339	2	53	1, 1	1	0.638497652582	0.993740219092	91	87	548
53, 346	2	53	1, 0	1	0.674491392801	0.992175273865	81	76	558
53, 362	2	53	1, 1	1	0.638497652582	0.990610328638	101	95	538
53, 372	2	53	1, 0	1	0.677621283255	1.0	73	73	566
53, 374	2	53	1, 0	1	0.674491392801	0.995305164319	77	74	562
53, 375	2	53	1, 1	1	0.638497652582	0.992175273865	91	86	548
53, 51	2	53	1, 0	1	0.694835680751	1.0	84	84	555
53, 62	2	53	1, 0	1	0.679186228482	0.990610328638	86	80	553
62, 110	2	62	0, 1	1	0.679186228482	0.990610328638	84	78	555
62, 134	2	62	0, 0	1	0.727699530516	0.990610328638	69	63	570
62, 153	2	62	0, 0	1	0.718309859155	0.990610328638	63	57	576
62, 176	2	62	0, 0	1	0.723004694836	0.990610328638	66	60	573
62, 178	2	62	0, 0	1	0.718309859155	0.990610328638	63	57	576
62, 281	2	62	0, 1	1	0.679186228482	0.990610328638	81	75	558
62, 29	2	62	0, 1	1	0.679186228482	0.990610328638	90	84	549
62, 304	2	62	0, 1	1	0.679186228482	0.990610328638	97	91	542
62, 314	2	62	0, 1	1	0.679186228482	0.990610328638	92	86	547
62, 333	2	62	0, 1	1	0.679186228482	0.990610328638	99	93	540
62, 372	2	62	0, 0	1	0.715179968701	0.990610328638	61	55	578
62, 51	2	62	0, 0	1	0.699530516432	0.990610328638	51	45	588
62, 53	2	62	0, 1	1	0.679186228482	0.990610328638	86	80	553
110, 115	2	110	1, 1	1	0.638497652582	0.992175273865	96	91	543
110, 121	2	110	1, 0	1	0.679186228482	0.993740219092	80	76	559
110, 125	2	110	1, 0	1	0.674491392801	0.993740219092	77	73	562
110, 134	2	110	1, 0	1	0.69014084507	1.0	79	79	560
110, 153	2	110	1, 0	1	0.677621283255	1.0	71	71	568
110, 176	2	110	1, 0	1	0.682316118936	1.0	74	74	565
110, 178	2	110	1, 0	1	0.682316118936	1.0	74	74	565
110, 198	2	110	1, 0	1	0.683881064163	0.995305164319	81	78	558
110, 224	2	110	1, 1	1	0.638497652582	0.993740219092	93	89	546
110, 239	2	110	1, 1	1	0.638497652582	0.992175273865	89	84	550
110, 26	2	110	1, 1	1	0.638497652582	0.992175273865	93	88	546
110, 281	2	110	1, 1	1	0.638497652582	1.0	93	93	546
110, 29	2	110	1, 1	1	0.638497652582	1.0	98	98	541
110, 298	2	110	1, 1	1	0.638497652582	0.990610328638	99	93	540
110, 303	2	110	1, 0	1	0.680751173709	0.990610328638	85	79	554
110, 304	2	110	1, 1	1	0.638497652582	1.0	105	105	534
