prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
372, 176	2	372	0, 0	1	0.721439749609	1.0	53	53	586
372, 178	2	372	0, 0	1	0.721439749609	1.0	53	53	586
372, 19	2	372	0, 1	1	0.677621283255	1.0	81	81	558
372, 281	2	372	0, 1	1	0.677621283255	1.0	72	72	567
372, 29	2	372	0, 1	1	0.677621283255	1.0	77	77	562
372, 304	2	372	0, 1	1	0.677621283255	1.0	84	84	555
372, 314	2	372	0, 1	1	0.677621283255	1.0	79	79	560
372, 333	2	372	0, 1	1	0.677621283255	1.0	86	86	553
372, 51	2	372	0, 0	1	0.733959311424	1.0	61	61	578
372, 53	2	372	0, 1	1	0.677621283255	1.0	73	73	566
19, 110, 153	3	19	1, 1, 0	0	0.716744913928	1.0	126	126	513
19, 110, 176	3	19	1, 1, 0	0	0.721439749609	1.0	129	129	510
19, 110, 178	3	19	1, 1, 0	0	0.721439749609	1.0	129	129	510
19, 110, 190	3	19	1, 1, 0	0	0.719874804382	1.0	128	128	511
19, 110, 198	3	19	1, 1, 0	0	0.727699530516	1.0	133	133	506
19, 110, 23	3	19	1, 1, 0	0	0.755868544601	1.0	151	151	488
19, 110, 242	3	19	1, 1, 0	0	0.719874804382	1.0	128	128	511
19, 110, 346	3	19	1, 1, 0	0	0.721439749609	1.0	129	129	510
19, 110, 373	3	19	1, 1, 0	0	0.716744913928	1.0	126	126	513
19, 110, 51	3	19	1, 1, 0	0	0.733959311424	1.0	137	137	502
19, 110, 71	3	19	1, 1, 0	0	0.721439749609	1.0	129	129	510
19, 110, 83	3	19	1, 1, 0	0	0.727699530516	1.0	133	133	506
19, 134, 29	3	19	1, 0, 1	1	0.69014084507	1.0	140	140	499
19, 153, 178	3	19	1, 0, 0	1	0.721439749609	1.0	109	109	530
19, 153, 51	3	19	1, 0, 0	1	0.733959311424	1.0	117	117	522
19, 153, 55	3	19	1, 0, 1	1	0.677621283255	1.0	122	122	517
19, 281, 0	3	19	1, 1, 0	0	0.724569640063	1.0	130	130	509
19, 281, 107	3	19	1, 1, 0	0	0.735524256651	1.0	137	137	502
19, 281, 110	3	19	1, 1, 1	0	0.75117370892	1.0	147	147	492
19, 281, 151	3	19	1, 1, 0	0	0.724569640063	1.0	130	130	509
19, 281, 153	3	19	1, 1, 0	0	0.719874804382	1.0	127	127	512
19, 281, 176	3	19	1, 1, 0	0	0.724569640063	1.0	130	130	509
19, 281, 178	3	19	1, 1, 0	0	0.724569640063	1.0	130	130	509
19, 281, 248	3	19	1, 1, 0	0	0.727699530516	1.0	132	132	507
19, 281, 270	3	19	1, 1, 0	0	0.721439749609	1.0	128	128	511
19, 281, 300	3	19	1, 1, 0	0	0.73082942097	1.0	134	134	505
19, 281, 51	3	19	1, 1, 0	0	0.737089201878	1.0	138	138	501
19, 281, 59	3	19	1, 1, 0	0	0.757433489828	1.0	151	151	488
19, 281, 62	3	19	1, 1, 0	0	0.73082942097	1.0	134	134	505
19, 29, 110	3	19	1, 1, 1	0	0.766823161189	1.0	152	152	487
19, 29, 153	3	19	1, 1, 0	0	0.735524256651	1.0	132	132	507
19, 29, 176	3	19	1, 1, 0	0	0.740219092332	1.0	135	135	504
19, 29, 178	3	19	1, 1, 0	0	0.740219092332	1.0	135	135	504
